id,lon,lat,name
1100162,7.893185,47.839927,"Wieden (Schw), Wiedenmatt"
1100163,7.881146,47.841607,"Wieden (Schw), Hirschen"
1100164,7.885315,47.844844,"Wieden (Schw), Hüttbach Rütte"
1100165,7.891588,47.843987,"Wieden (Schw), Ungendwieden"
1100166,7.887484,47.846338,"Wieden (Schw), Wiedenrütte"
1100167,7.866886,47.844727,"Wieden (Schw), Wiedener Eck"
1100168,7.868935,47.836533,"Wieden (Schw), Skilift/Holzpl."
1100169,7.858989,47.829699,"Wieden (Schw), Hohtann"
1100170,7.854492,47.823028,"Aitern, Obermulten"
1100171,7.850853,47.821471,"Aitern, Multen"
1100172,7.881472,47.809113,"Aitern, Holzinshaus"
1100173,7.895886,47.802676,"Aitern, Rössle"
1100174,7.899386,47.801387,"Aitern, Am Schadenrain"
1100175,7.816415,47.644751,"Schopfheim, Dreistern"
1100176,7.81288,47.635613,"Wiechs (LÖ), Post"
1100177,7.812264,47.632835,"Wiechs (LÖ), An der Halden"
1100178,7.975798,47.76243,"Herrenschwand, Hochkopfhaus"
1100179,7.97278,47.82679,"Todtnau, Präg Hinterdorf"
1100180,7.815356,47.636826,"Wiechs (LÖ), Rebacker"
1100181,7.81307,47.632537,"Wiechs (LÖ), Am Rain"
1100182,7.827913,47.651096,"Schopfheim, Ebertschule"
1100183,8.003167,47.733548,"Todtmoos, Schule"
1100184,7.73295,47.709998,"Endenburg, Oberdorf"
1100185,7.71274,47.700775,"Kandern, Platzhof Jugendherb."
1100186,7.705131,47.701796,"Kandern, Scheideck"
1100187,7.797204,47.688699,"Wieslet, Schule"
1100188,7.772066,47.683826,"Weitenau (Baden), Fahrnbuck"
1100189,7.779179,47.68508,"Weitenau (Baden), Schillighof"
1100190,7.799233,47.703063,"Tegernau (Bd), Niedertegernau"
1100191,7.794292,47.719507,Tegernau (Baden)
1100192,7.739199,47.644346,"Steinen (Kr LÖ), Kirchstrasse"
1100193,7.738965,47.647421,"Steinen (Kr LÖ),Steinenbachbr."
1100194,7.728057,47.659043,"Hägelberg, Untere Dorfstrasse"
1100195,7.728583,47.662081,"Hägelberg, Mittlere Dorfstasse"
1100196,7.741471,47.6315,"Steinen (Kr LÖ), Hüsingen"
1100197,7.748093,47.640431,"Höllstein (D), Friedrichstr."
1100198,7.753331,47.640191,"Höllstein (D), Neue Strasse"
1100199,7.748177,47.639163,"Höllstein (D), Schule"
1100201,7.83314,47.654766,"Schopfheim, Im Grund"
1100202,7.835441,47.657516,"Fahrnau, Werderstrasse"
1100203,7.839532,47.660846,"Fahrnau, Ost"
1100204,7.851487,47.659877,"Fahrnau, Silberbrünnle"
1100205,7.868148,47.66483,Kürnberg
1100206,7.88016,47.667431,"Sattelhof (Baden), Abzweigung"
1100207,7.893989,47.67614,"Glashütten (Hasel), Abzweigung"
1100208,7.892239,47.687712,"Schopfheim, Abzw. Schweigmatt"
1100209,7.897906,47.694506,"Schopfheim, Auerhahn"
1100210,7.899561,47.698531,"Schopfheim, Eckhag"
1100211,7.924451,47.699194,"Gersbach (Baden), Ebnet"
1100213,7.978139,47.828564,"Todtnau, Präg Rathaus"
1100214,7.974115,47.826783,"Todtnau, Präg Hirschen"
1100215,7.798533,47.655772,"Langenau (LÖ), Friedhof"
1100216,7.799493,47.660389,"Langenau (LÖ), Rathaus"
1100217,7.800877,47.664497,"Langenau (LÖ), Inselstrasse"
1100218,7.808442,47.680354,"Schopfheim, Enkenstein"
1100219,7.799438,47.688911,"Wieslet, Sparkasse"
1100220,7.788029,47.721472,"Sallneck, Abzweigung"
1100221,7.781083,47.724007,"Schwand (Tegernau), Abzweigung"
1100222,7.772957,47.728204,"Wies (Schwarzw), Stauweiher"
1100223,7.769342,47.736164,"Wies (Schwarzw), Abzw. Demberg"
1100224,7.76876,47.747828,Wies (Schwarzw)
1100225,7.798061,47.726184,"Tegernau (Bd), Besengasse"
1100226,7.810793,47.736889,"Elbenschwand, Holl"
1100227,7.818452,47.742061,"Langensee (Kr LÖ), Ort"
1100228,7.823259,47.745421,"Langensee (Kr LÖ), Ost"
1100229,7.823755,47.749448,"Elbenschwand, Abzweigung"
1100230,7.827963,47.762286,"Bürchau, Haus 42"
1100231,7.824704,47.767733,"Bürchau, Kastel"
1100232,7.827137,47.77528,"Bürchau, Gemeindezentrum"
1100233,7.824905,47.781884,"Bürchau, Sägemättle"
1100234,7.827261,47.795424,Neuenweg (Kr LÖ)
1100235,7.812436,47.798927,"Heubronn, Vorderheubronn"
1100236,7.808148,47.801339,"Heubronn, Mittelheubronn"
1100237,7.792175,47.803227,"Neuenweg (Kr LÖ), Haldenhof"
1100238,7.799969,47.650361,"Gündenhausen, Würth Elektronik"
1100239,7.790388,47.73448,"Schwand (Tegernau), Unterdorf"
1100240,7.791216,47.736756,"Schwand (Tegernau), Schwand"
1100241,7.795268,47.750718,"Raich, Oberdorf"
1100242,7.798723,47.754831,"Oberhäuser (Baden), Abzweigung"
1100244,7.811433,47.748647,"Hohenegg (Baden), Raich"
1100245,7.809137,47.744007,"Hohenegg (Baden), Burstel"
1100247,8.00597,47.764947,"Todtmoos, Prestenberg"
1100248,8.008702,47.760247,"Todtmoos, Abzw. Rütte"
1100249,8.006057,47.756175,"Todtmoos, Im Bühl"
1100250,7.701382,47.569241,"Wyhlen, Rührberg"
1100251,7.692478,47.553024,"Wyhlen, Himmelspforte"
1100252,7.69146,47.551222,"Wyhlen, Klosterstrasse"
1100253,7.65962,47.555108,"Grenzach, Hebelstrasse"
1100254,7.662343,47.55785,"Grenzach, Im Proli"
1100255,7.663877,47.5592,"Grenzach, Erlenweg"
1100257,7.671304,47.561752,"Grenzach, Neufeld"
1100258,8.04725,47.78821,"Oberlehen (Schw),Abz. Todtmoos"
1100259,7.826691,47.646075,"Schopfheim, Hebelstr./Vicemoos"
1100260,8.060479,47.74347,"Ibach (D), Sonnenhalde"
1100261,8.066872,47.743315,"Ibach (D), Rathaus"
1100262,8.015673,47.820753,"Bernau (Schw), Hof"
1100263,8.031324,47.809639,"Bernau (Schw), Dorf Schulhof"
1100264,8.02013,47.772051,"Bernau (Schw), Rotes Kreuz"
1100265,8.042072,47.782961,"Bernau (Schw), Loipenzentrum"
1100266,7.786383,47.56453,"Rheinfelden (D), Realschule"
1100267,7.78034,47.560282,"Rheinfelden (D), Gymnasium"
1100268,8.008991,47.742205,"Todtmoos, Auf dem Köpfle"
1100269,7.856903,47.616156,"Dossenbach, Abzw Wehr"
1100270,7.860505,47.613898,"Dossenbach, Süd"
1100271,7.870585,47.603704,"Dossenbach, Niederdossenbach"
1100272,7.866383,47.591299,"Schwörstadt, Haus Thoma"
1100273,7.874324,47.592493,"Schwörstadt, Feuerwehrhaus"
1100274,7.881622,47.593967,"Schwörstadt, Oberdorf"
1100275,7.901999,47.636644,"Wehr (D), Zelgschule"
1100276,7.899242,47.633148,"Wehr (D), Flienken"
1100277,8.004031,47.739985,"Todtmoos, Busbahnhof"
1100278,8.002058,47.746927,"Todtmoos, Höfle"
1100279,8.001641,47.749181,"Todtmoos, Hintertodtmoos"
1100280,7.999045,47.750265,"Todtmoos, Strick"
1100281,7.989094,47.754308,"Todtmoos, Weg"
1100282,7.988391,47.749992,"Todtmoos, Mooslift"
1100283,7.981628,47.747342,"Todtmoos, Lehen"
1100284,8.031674,47.809216,"Bernau (Schw), Dorf"
1100285,7.983384,47.758388,"Todtmoos, Tännlemühle"
1100286,8.120472,47.759462,"St. Blasien, Hasenmatt"
1100287,8.114802,47.755869,"St. Blasien, Ziegelfeld"
1100288,7.661563,47.556399,"Grenzach, Bürgelerweg"
1100290,7.737894,47.553362,"Herten (Baden), Eigenstrasse"
1100291,7.852106,47.70696,"Zell (Wiesental),Schopfheimstr"
1100292,7.83769,47.661034,"Fahrnau, Hirscheneck"
1100294,7.757523,47.599835,"Eichsel, Obereichsel"
1100295,7.846217,47.699892,"Zell (Wiesental), Schwarznau"
1100297,7.637417,47.773886,"Müllheim (D), Feldberg Lohfel."
1100300,7.788796,47.56137,"Rheinfelden (D), K-Fürstenberg"
1100301,7.891873,47.893333,"Oberried (D), Abzw. Halde"
1100302,7.892378,47.90857,"Schauinsland, Bergstation"
1100303,7.563428,47.811498,"Neuenburg (Baden), Bahnhof"
1100304,7.842393,47.685655,"Hausen (LÖ), Eisenwerk"
1100305,7.840218,47.682798,"Hausen (LÖ), Lehacker"
1100307,7.569907,47.759848,"Schliengen, Eisenbahnstrasse"
1100308,7.672366,47.620422,"Lörrach, Friedhof"
1100309,7.605891,47.809282,"Müllheim (D), Eisenbahnstrasse"
1100313,7.847889,48.118981,"Emmendingen, Bahnhof"
1100315,7.828388,48.128532,"Mundingen, B3"
1100322,7.696901,47.91956,"Bad Krozingen, Bahnhof"
1100327,7.630326,47.808156,"Müllheim (D), Verkehrsamt"
1100329,7.918218,47.801917,"Utzenfeld, Schule"
1100330,7.627532,47.81107,"Müllheim (D), Goethestrasse"
1100350,7.80521,48.137869,"Teningen, Bahnhofstrasse"
1100355,7.736485,47.556562,"Herten (Baden), Friedhof"
1100356,7.742011,47.573752,"Degerfelden, Lamm B316"
1100359,7.865751,47.590729,"Schwörstadt, Unterdorf"
1100360,7.8354,47.590296,"Schwörstadt, Kraftwerk"
1100361,7.661309,47.619277,"Lörrach, Gewerbeschule"
1100362,7.696777,47.587198,"Inzlingen, Wasserschloss"
1100363,7.662912,47.613294,"Lörrach, Grabenstr."
1100365,7.660254,47.613704,"Lörrach, Senser Platz"
1100366,7.675751,47.623404,"Lörrach, Homburg Siedlung"
1100367,7.677071,47.624913,"Lörrach, Robert Bosch Strasse"
1100368,7.845791,47.679242,"Hausen-Raitbach, Bahnhof"
1100369,7.77642,47.645757,"Maulburg, Volksbank"
1100370,7.771925,47.644962,"Maulburg, Teichmattstrasse"
1100371,7.73392,47.641859,"Steinen (Kr LÖ), Egertenstr."
